name,if_beta,lambda,if_gamma,sigma_gamma,sigma_f,target,T_year,T_sec,,ga(100),ga(200),ga(400),ga(600),gf(100),gf(200),gf(400),gf(600)
U235,0,3.12E-17,1,99.3843,586.691,U236,7.04E+08,2.22E+16,,0.961,0.9457,0.9294,0.9229,0.9581,0.9411,0.9208,0.9108
U236,0,9.38E-16,1,5.13396,0,Np237,2.34E+07,7.39E+14,,1,1,1,1,,,,
Np237,0,1.03E-14,1,175.43,0,Pu238,2.14E+06,6.76E+13,,1,1,1,1,,,,
Pu238,0,2.51E-10,1,412.855,0,Pu239,87.7,2765707200,,1,1,1,1,,,,
,,,,,,,,,,,,,,,,,
U238,0,4.92E-18,1,2.73,0,Np239,4.47E+09,1.41E+17,,1.0031,1.0049,1.0085,1.0122,,,,
Np239,1,3.41E-06,0,0,0,Pu239,0.006454795,203558.4,,,,,,,,,
Pu239,0,9.12E-13,1,274,0,Pu240,24110,7.60E+11,,1.1611,1.3388,1.8905,2.5321,,,,
Pu240,0,3.35E-12,1,286,0,Pu241,6561,2.07E+11,,,,,,,,,
Pu241,0,1.53E-09,1,363.047,0,Pu242,14.329,451879344,,,,,,,,,
Pu241,1,1.53E-09,0,363.047,0,Am241,14.329,451879344,,,,,,,,,
,,,,,,,,,,,,,,,,,
U238,0,4.92E-18,1,2.73,,U239,4.47E+09,1.41E+17,,1.0031,1.0049,1.0085,1.0122,,,,
U239,1,0.000502281,0,22,,Np239,,1380,,1,1,1,1,,,,
U239,0,0.000502281,1,22,,U240,,1380,,1,1,1,1,,,,
Np239,1,3.41E-06,0,30,,Pu239,0.006454795,203558.4,,1,1,1,1,,,,
Np239,0,3.41E-06,1,30,,Np240,0.006454795,203558.4,,1,1,1,1,,,,
Pu239,0,9.12E-13,1,274,,Pu240,24110,7.60E+11,,1.1611,1.3388,1.8905,2.5321,,,,
U240,1,1.37529E-05,0,19.1675,,Np240,,50400,,1,1,1,1,,,,
Np240,1,0.00165035,0,0,,Pu240,,420,,1,1,1,1,,,,
Pu240,0,3.35E-12,1,286,,Pu241,6561,2.07E+11,,1,1,1,1,,,,
Pu241,0,1.53E-09,1,363.047,,Pu242,14.329,451879344,,1,1,1,1,,,,
Pu241,1,1.53E-09,0,363.047,,Am241,14.329,451879344,,1,1,1,1,,,,
